"name","pop","popDensity"
"Nigeria","216746934","234.6335"
"Ethiopia","120812698","109.4021"
"Egypt","106156692","105.8972"
"DR Congo","95240792","40.6169"
"Tanzania","63298550","66.9764"
"South Africa","60756135","49.7578"
"Kenya","56215221","96.8615"
"Uganda","48432863","200.5086"
"Sudan","45992020","24.3851"
"Algeria","45350148","19.0408"
"Morocco","37772756","84.5880"
"Angola","35027343","28.0960"
"Mozambique","33089461","41.2798"
"Ghana","32395450","135.8112"
"Madagascar","29178077","49.7036"
"Cameroon","27911548","58.7065"
"Ivory Coast","27742298","86.0325"
"Niger","26083660","20.5869"
"Burkina Faso","22102838","80.9726"
"Mali","21473764","17.3149"
"Malawi","20180839","170.3254"
"Zambia","19470234","25.8702"
"Senegal","17653671","89.7392"
"Chad","17413580","13.5620"
"Somalia","16841795","26.4120"
"Zimbabwe","15331428","39.2352"
"Guinea","13865691","56.3974"
"Rwanda","13600464","516.3818"
"Benin","12784726","113.5189"
"Burundi","12624840","453.5762"
"Tunisia","12046656","73.6303"
"South Sudan","11618511","18.7472"
"Togo","8680837","152.8720"
"Sierra Leone","8306436","115.7853"
"Libya","7040745","4.0015"
"Republic of the Congo","5797805","16.9526"
"Liberia","5305117","47.6355"
"Central African Republic","5016678","8.0527"
"Mauritania","4901981","4.7560"
"Eritrea","3662244","31.1415"
"Namibia","2633874","3.1902"
"Gambia","2558482","239.3565"
"Botswana","2441162","4.1944"
"Gabon","2331533","8.7105"
"Lesotho","2175699","71.6751"
"Guinea-Bissau","2063367","57.1174"
"Equatorial Guinea","1496662","53.3550"
"Mauritius","1274727","624.8662"
"Eswatini","1184817","68.2341"
"Djibouti","1016097","43.7973"
"Reunion","908061","361.6332"
"Comoros","907419","487.3357"
"Western Sahara","626161","2.3540"
"Cape Verde","567678","140.7582"
"Mayotte","286259","765.3984"
"Sao Tome and Principe","227679","236.1815"
"Seychelles","99426","219.9690"
