"name","pop","popDensity"
"China","1448471400","149.2199"
"India","1406631776","427.8611"
"Indonesia","279134505","146.5605"
"Pakistan","229488994","260.2176"
"Bangladesh","167885689","1137.6682"
"Japan","125584838","332.2966"
"Philippines","112508994","328.6345"
"Vietnam","98953541","298.7619"
"Iran","86022837","52.1921"
"Turkey","85561976","109.1962"
"Thailand","70078203","136.5727"
"Myanmar","55227143","81.6272"
"South Korea","51329899","512.2233"
"Iraq","42164965","96.1974"
"Afghanistan","40754388","62.4847"
"Saudi Arabia","35844909","16.6745"
"Uzbekistan","34382084","76.8486"
"Malaysia","33181072","100.3046"
"Yemen","31154867","59.0090"
"Nepal","30225582","205.3633"
"North Korea","25990679","215.6223"
"Taiwan","23888595","660.0336"
"Sri Lanka","21575842","328.8499"
"Syria","19364809","104.5729"
"Kazakhstan","19205043","7.0480"
"Cambodia","17168639","94.8360"
"Jordan","10300869","115.2970"
"Azerbaijan","10300205","118.9400"
"United Arab Emirates","10081785","120.5955"
"Tajikistan","9957464","69.5840"
"Israel","8922892","429.6048"
"Hong Kong","7604299","6887.9520"
"Laos","7481023","31.5922"
"Kyrgyzstan","6728271","33.6496"
"Lebanon","6684849","639.5761"
"Turkmenistan","6201943","12.7063"
"Singapore","5943546","8371.1915"
"Palestine","5345541","859.4117"
"Oman","5323993","17.2019"
"Kuwait","4380326","245.8371"
"Georgia","3968738","56.9403"
"Mongolia","3378078","2.1597"
"Qatar","2979915","257.1996"
"Armenia","2971966","99.9215"
"Bahrain","1783983","2332.0039"
"Timor-Leste","1369429","92.0686"
"Bhutan","787941","20.5225"
"Macau","667490","22249.6667"
"Maldives","540985","1803.2833"
"Brunei","445431","77.2647"
