"name","pop","popDensity"
"Russia","145805947","8.5275"
"Germany","83883596","234.8930"
"United Kingdom","68497907","282.0004"
"France","65584518","118.8782"
"Italy","60262770","199.9853"
"Spain","46719142","92.3318"
"Ukraine","43192122","71.5694"
"Poland","37739785","120.6982"
"Romania","19031335","79.8324"
"Netherlands","17211447","411.2652"
"Belgium","11668278","382.2156"
"Czech Republic","10736784","136.1413"
"Greece","10316637","78.1623"
"Sweden","10218971","22.6939"
"Portugal","10140570","110.1159"
"Hungary","9606259","103.2620"
"Belarus","9432800","45.4374"
"Austria","9066710","108.1030"
"Switzerland","8773637","212.5191"
"Serbia","8653016","97.9280"
"Bulgaria","6844597","61.7303"
"Denmark","5834950","135.4005"
"Finland","5554960","16.4142"
"Norway","5511370","17.0208"
"Slovakia","5460193","111.3484"
"Ireland","5020199","71.4385"
"Croatia","4059286","71.7264"
"Moldova","4013171","118.5715"
"Bosnia and Herzegovina","3249317","63.4521"
"Albania","2866374","99.7069"
"Lithuania","2661708","40.7612"
"North Macedonia","2081304","80.9436"
"Slovenia","2078034","102.5025"
"Latvia","1848837","28.6379"
"Estonia","1321910","29.2283"
"Cyprus","1223387","132.2438"
"Luxembourg","642371","248.4033"
"Montenegro","627950","45.4641"
"Malta","444033","1405.1677"
"Iceland","345393","3.3533"
"Isle of Man","85732","149.8811"
"Andorra","77463","165.5192"
"Faroe Islands","49233","35.3431"
"Monaco","39783","19694.5545"
"Liechtenstein","38387","239.9187"
"San Marino","34085","558.7705"
"Gibraltar","33704","5617.3333"
"Vatican City","799","1815.9091"
