"name","pop","popDensity"
"United States","334805269","35.7217"
"Mexico","131562772","66.9744"
"Canada","38388419","3.8447"
"Guatemala","18584039","170.6696"
"Haiti","11680283","420.9111"
"Cuba","11305652","102.8872"
"Dominican Republic","11056370","227.1655"
"Honduras","10221247","90.8620"
"Nicaragua","6779100","51.9977"
"El Salvador","6550389","311.3155"
"Costa Rica","5182354","101.4159"
"Panama","4446964","58.9650"
"Jamaica","2985094","271.5944"
"Puerto Rico","2829812","319.0318"
"Trinidad and Tobago","1406585","274.1881"
"Belize","412190","17.9478"
"Bahamas","400516","28.7252"
"Guadeloupe","399794","245.5737"
"Martinique","374087","331.6374"
"Barbados","288023","669.8209"
"Saint Lucia","185113","300.5081"
"Curacao","165529","372.8131"
"Grenada","113475","329.8692"
"Saint Vincent and the Grenadines","111551","286.7635"
"Aruba","107609","597.8278"
"United States Virgin Islands","103971","299.6282"
"Antigua and Barbuda","99509","225.1335"
"Dominica","72344","96.3302"
"Cayman Islands","67277","254.8371"
"Bermuda","61939","1147.0185"
"Greenland","56973","0.0263"
"Saint Kitts and Nevis","53871","206.4023"
"Sint Maarten","43966","1293.1176"
"Turks and Caicos Islands","39741","41.9209"
"Saint Martin","39730","749.6226"
"British Virgin Islands","30596","202.6225"
"Anguilla","15230","167.3626"
"Saint Barthelemy","9945","473.5714"
"Saint Pierre and Miquelon","5759","23.7975"
"Montserrat","4965","48.6765"
